Please specify your gender as accurately as possible.,Please specify your sexuality as accurately as possible.,"Do you identify as queer, genderqueer, genderfuck, trans?",Do you currently work in any of the computing fields?,Do you have (or are working on) a degree in a computing field?
Agender,Bisexual,Yes,No,No
masculine male,hetero,No,Yes,No
Female,Asexual,No,Yes,Yes
Female,Bi-curious,No,Yes,No
Male,Not quite reaching its full potential,No,Yes,Yes
Male,Straight,No,Yes,Yes
"born physically and (I guess, whatever it means to be) psychologically male","pretty heterosexual, with brief dalliances with gayness",No,Yes,No
Male,Heterosexual and totally skewed by a religious sex obsession while growing up,No,Yes,No
male,male,No,Yes,No
male,heterosexual,No,Yes,No
Exactly male,Mainly/mostly heterosexual,No,Yes,No
male,straight,No,Yes,No
Male,Hetero,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,Yes
Male,Bi-furious,No,Yes,Yes
male,bisexual,No,No,No
"Female (MTF trans, but that's not part of my ""gender""; my gender is that I am a woman, period).",Bi,Yes,Yes,No
Male,Heterosexual,No,Yes,No
Omega male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,No
Female,Heterosexual,No,Yes,Yes
Male,Straight,No,No,No
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Gay,Yes,Yes,Yes
Male,Vaguely bisexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,Heterosexual,No,No,No
Male,Heterosexual,No,Yes,No
Male,Hetersexu,No,No,No
Male,Straight,No,Yes,Yes
non-alpha male,straight but pragmatic,No,Yes,No
male,straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
cis male,Hetero,No,Yes,No
Male,Hetro,No,Yes,No
Female,Hetrosexual,No,No,Yes
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,Yes
female,gay,Yes,No,No
unsure,impossible to describe since I'm not sure what my gender is,Yes,Yes,No
male,straight,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,I love to fuck the girls,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Straight,No,Yes,Yes
female,lesbian,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,"mostly heterosexual, bi-comfy",No,Yes,No
"male, high libido.",heterosexual,No,No,No
Male,Hetero,No,Yes,Yes
Male,Gay,No,No,No
male,straight,No,Yes,Yes
Male,Hetrosexual,No,Yes,No
Male,Bisexual,No,Yes,Yes
male,heterosexual,No,Yes,No
M,Hetero,No,Yes,Yes
Cis Male,Exclusively oriented toward other men,Yes,Yes,No
Male,95% straight,No,Yes,Yes
male,asexual,Yes,Yes,No
Female,Straight-ish,No,No,No
male,asexual,Yes,Yes,No
Female,"Bisexual & momogamous, but married to a man, so hardly anyone notices",No,Yes,Yes
male,heterosexuality,No,Yes,Yes
male,gay,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,hetero,No,Yes,No
Male,Hetrosexual,No,Yes,No
Male,Hetrosexual,No,Yes,No
Male,Hetero,No,Yes,Yes
male,heterosexual,No,Yes,Yes
male,gay,Yes,Yes,Yes
Female,Lesbian,Yes,Yes,Yes
Male,Straight,No,Yes,Yes
red-eyed virgin,"Mandriva, Ubuntu",Yes,No,No
female,"bisexual, but mostly on the hetero side",No,Yes,No
male,straight,No,Yes,No
Female,Queer,Yes,Yes,Yes
male,queer/bi,Yes,Yes,No
female,i think i'm interested in anybody but i have only dated boys,Yes,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,?,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Androgyne,Pansexual,Yes,No,No
masculine,heterosexual,No,Yes,No
Female,Poly straight,No,Yes,Yes
Female,Bi,No,Yes,Yes
masculine with feminine sensitivities at times,active heterosexual,No,Yes,No
Male,"Straight, somewhat poly",No,Yes,Yes
Female,Straight,No,Yes,Yes
male,straight,No,Yes,No
Female,Bisexual,Yes,Yes,No
trans woman,lesbian,Yes,Yes,Yes
cis female,straight non-asexual,No,Yes,Yes
Male-bodied male,Heterosexual,No,Yes,No
male,geterosexual,No,Yes,No
Introvert,Straight male,No,Yes,Yes
female,bi,No,No,No
notorious heterosexual,lapsed,No,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,No,Yes
Male,Heteroflexible,No,Yes,No
Male,Straight,No,Yes,No
100% male,Absolutely straight,No,Yes,No
Male,Straight,No,Yes,Yes
Male,Gay,Yes,Yes,Yes
female,primarily hetero,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,Hetro,No,Yes,Yes
Heterotomboy,Vanilla with sprinkles,No,No,No
Male,Straight,No,Yes,Yes
Male,Heteroflexible,Yes,Yes,Yes
male,straight,No,Yes,No
male,straight,No,Yes,Yes
Gender-disobedient male,Kinsey ã/3,Yes,Yes,Yes
Genderqueer trans grrl,panromantic asexual,Yes,No,Yes
female with tomboyish leanings,bisexual,No,Yes,Yes
Female,"Straight, though on the asexual side.",No,Yes,Yes
female,straight,No,No,No
Male,Straight,No,Yes,Yes
cis male,mostly hetero,No,Yes,No
female,straight,No,Yes,Yes
Male,"Bisexual, more gay-than-straight",Yes,Yes,Yes
Female,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Female,Questionung,Yes,Yes,No
male,heterosexual,No,Yes,Yes
woman,demisexual,Yes,Yes,Yes
female,Heterosexual with inklings for the opposite sex which I've never acted on,No,Yes,Yes
Male,Mostly Heterosexual -> 1 on the Kinsey Scale,No,Yes,Yes
Trans*,Lesbian,Yes,Yes,No
female,underutilized heterosexual considering homosexual,No,No,No
male,heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Mildly butch female,"Bisexual, heavy on the hetero side",No,Yes,No
male,straight,No,Yes,Yes
Male,Straight,No,Yes,No
Male,"*LOVE* women and women's bodies. Possibly slightly bicurious; I'm honestly not sure, but I do get a bit mesmerized at times with certain male friends. I don't generally get turned on by men though, and I find most gay porn/imagery not arousing in the slightest.",No,Yes,Yes
Male,Straight,No,Yes,No
male,straight,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,No
Male,Heterosexuality,No,Yes,No
female,heterosexual,No,No,No
Male,Heterosexual,No,Yes,Yes
male,male,No,Yes,Yes
Dude,Almost completely  straight,No,Yes,No
Male,Gay,Yes,No,No
mane,straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Female,love-straight. sex-bisexual.,No,Yes,No
male,"Heterosexual, monogamous",No,Yes,No
Male,"Mostly straight (Kinsey scale 1, say)",No,Yes,Yes
Male,Queer,Yes,Yes,Yes
I'm a male.,I'm straight,No,No,Yes
male,i like girls,No,Yes,Yes
cisgender male,heterosexual,No,Yes,Yes
Female,Bisexual,Yes,Yes,Yes
female,bi-sexual,No,Yes,Yes
Male,"I like women, I like male to female transsexuals",No,Yes,Yes
"born male, still male.",straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
female,heterosexual,No,Yes,Yes
Masculine (my sex is male!),Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
cis male,"I like people, we'll figure out how to rub our genitals together when it comes to that.",Yes,Yes,Yes
male,straight,No,Yes,Yes
Female,Hetero,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,"male hetero (i.e, attracted to women)",No,Yes,No
Male,Unknown,No,Yes,No
male,bisexual,No,Yes,Yes
Male,Male,No,Yes,Yes
Male,Straight,No,Yes,Yes
Female,Heterosexual,No,Yes,No
MALE,heterosexual,No,Yes,Yes
Female,Mostly straight,No,No,No
Male,Gay,No,Yes,Yes
Woman,"Lesbian (""ranked"" as a 4 on Kinsey scale)",Yes,Yes,No
Male,Straight,No,Yes,No
cisgender male,heterosexual,No,Yes,No
Femail,Hetro,No,Yes,Yes
Woman,Heterosexual-ish. I'm a 2 on the Kinsey scale.,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Female,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
female,queer,Yes,Yes,No
Female,Bisexual,Yes,Yes,No
Female,Straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Cis male,Hetero (0),No,Yes,Yes
M,Straight,No,Yes,No
Female,Straight,No,Yes,Yes
Gay male,Gay male,Yes,No,Yes
Male,"Attracted primarily to women, and only very occasionally to men. I tend to be more attracted to femme men and women, but am far more frequently attracted to butch women than butch men.",Yes,Yes,No
Male,Straight,No,Yes,No
Slightly-butch female,Mostly lesbian,Yes,Yes,Yes
woman,mostly homoromantic homosexual,Yes,No,Yes
Male,hetero,No,No,No
"cis-male presenting, genderfluid",mostly straight with bi-leanings when feeling femme,Yes,Yes,Yes
Male,About 95% straight. :),No,Yes,Yes
female,pan,Yes,Yes,Yes
Man who is made a bit feminine,"I am primarily attracted to women, though I find some men attractive, and I'm mostly attracted to tomboyish women",No,Yes,Yes
female,straight,No,No,No
male,straight,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,Homosexual,No,Yes,No
Trans girl,Queer kinky poly female-oriented,Yes,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male/cisgendered,Heterosexual/cissexual,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Vanilla male but light on the testosterone,Hetro with single life partner,No,Yes,Yes
Male,Heterosexual. 4.5,No,Yes,No
female,hetero,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Hetro,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Heterosexual,No,Yes,No
male,heterosexual,No,Yes,Yes
male,hetro,No,Yes,No
Male,Heterosexual,No,Yes,Yes
m,m,Yes,Yes,Yes
Male,Strongly heterosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
male,straight,No,Yes,Yes
female,heterosexual,No,No,No
Male,Mostly heterosexual,No,Yes,No
Male,"Bisexual in theory, gay in practice",Yes,Yes,Yes
Cissexual woman,"Bisexual in orientation, but I've been in a monogamous relationship with a man for the last 19 years so it's a bit theoretical.",No,No,No
male,mostly straight,No,Yes,No
male,heterosexual,No,Yes,Yes
male,gay,Yes,Yes,Yes
cis man with mild genderfuck tendencies,kinsey 5,Yes,Yes,Yes
male,hetero,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Heterosexual,No,Yes,Yes
male,straight,No,Yes,Yes
female,pansexual,No,No,No
Female,Heterosexual,No,Yes,Yes
Female,Heterosexual,No,No,No
female,heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Female,Lesbian,Yes,Yes,Yes
Female,Heterosexual,No,No,No
woman,straight,No,Yes,Yes
male,heterosexual,No,No,Yes
Male,Hetero,No,Yes,No
Male,Asexual,No,Yes,No
male,hetero,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male.,"So-called ""straight"", or interested in the opposite sex only.",No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
"86% man, 14% woman","86% straight, 14% something else",Yes,Yes,No
male,hetrosexual,No,Yes,Yes
male,heterosexual,No,Yes,Yes
biological female,heterosexual,No,Yes,No
male,pansexual polyamorous,Yes,Yes,Yes
Transgender male,Panssexual,Yes,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Primarily heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male (closeted MTF trans),Hetero per my external identity,Yes,Yes,Yes
female,straight,No,Yes,No
Male,Gay,No,Yes,Yes
Male,Straight,No,Yes,Yes
male,hetrosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Hetero,No,No,No
lady that sometimes has guy/genderless days,pansexual,No,No,Yes
Male,Straight,No,Yes,Yes
Male,Interested in women,No,Yes,Yes
"Male; but having aspergers, that's only a biological default.",Straight.,No,Yes,Yes
XY,"heteroromantic, bisexual",Yes,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Male,No,Yes,Yes
Male,Mostly straight,No,Yes,Yes
male,straight,No,Yes,No
male,heterosexual,No,Yes,No
Male,Straight,No,No,Yes
male,heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Bisexual,Yes,Yes,No
Male,Straight,No,Yes,Yes
Male,Kinsey Scale 0 Hetero.,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Hetero,No,Yes,No
Male,Gay,Yes,Yes,Yes
Male,Heterosexual,No,No,No
Male,Heterosexual,No,Yes,No
Male,Straight,No,No,Yes
Male,Straight,No,Yes,No
Male,Heterosexul,No,Yes,Yes
female,bisexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
male,heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Cis-male gender fluid,Pansexual,Yes,Yes,Yes
male,straight,No,Yes,Yes
Male,Hetrosexual,No,Yes,Yes
female,Queer/sapiosexual,Yes,No,Yes
Male,Heterosexual,No,Yes,Yes
Female,Attractive people are attractive people,No,Yes,Yes
male,heterosexual,No,Yes,No
Female,Heterosexual,No,Yes,No
man,heterosexual,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Straight,No,Yes,Yes
male/femme,pansexual,Yes,Yes,No
Male,Straight,No,Yes,No
Male,98% Hetero,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,"I love sex. So far, only with women.",No,Yes,Yes
spivak,polyamorous,Yes,Yes,No
Male,Heterosexual,No,Yes,Yes
male,heterosexual,No,Yes,No
Male,Straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,"Straight, some experimentation",No,Yes,Yes
Male,Straight,No,Yes,Yes
male,hetero,No,Yes,Yes
Male,Straight,No,Yes,No
Male,Straight,No,Yes,Yes
I assume XX. I have gestated babies.,"Queer. Specifically, I don't understand what it would be like to have an orientation. Neither of the two generally recognized genders feels like me.",Yes,Yes,No
male,heterosexual,No,Yes,No
Male,Male,No,Yes,No
Male,Male,No,Yes,No
Female,Straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
man,straight,No,No,Yes
Male,Gay,Yes,Yes,Yes
Male,Heterosexual,No,No,Yes
Male,Straight,No,Yes,No
Antiheteronormatively male,Straight,No,Yes,No
Male,Heterosexual,No,Yes,Yes
cisfemale,mostly hetero (and utterly open),No,Yes,No
Male,Hetrosexual,No,Yes,Yes
Male,Heterosexual,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Try,No,Yes,No
Female,Queer/bisexual,Yes,Yes,No
Male,Heterosexual,No,Yes,No
Male,Straight,No,Yes,Yes
Male,Heterossexual,No,Yes,No
Male,Straight,No,Yes,No
male,male,No,Yes,No
Male,Heterosexual,No,Yes,Yes
Male,Male,Yes,Yes,Yes
"Male, with increasingly strong femme (but not female) genderqueer aspects",Queer,No,Yes,No
male,straight,No,Yes,Yes
Cis female,Bisexual,Yes,Yes,No
female,lesbian,Yes,Yes,Yes
Female,Lesbian,No,Yes,No
Male,Hetero,No,Yes,Yes
male,heterosexual,No,Yes,No
Female,Straight,No,Yes,No
male,heterosexual,No,No,No
male,heterosexual,No,Yes,Yes
Cis-female,Queer,Yes,Yes,No
Male,Heterosexual,No,Yes,Yes
male,hetero,No,Yes,Yes
Male,Hetero,No,Yes,Yes
Male,Straight,No,Yes,No
Female,Hetero,No,No,No
female,queer,Yes,Yes,Yes
Male,Straight,No,Yes,Yes
female,hetrosexual,No,No,No
female,bisexual,No,Yes,No
Male,Straight,No,Yes,No
trans*,pansexual,Yes,Yes,No
Female,"Polyamorous, straight",No,Yes,No
Male,Straight,No,Yes,Yes
Male,Straight,No,Yes,Yes
Male,Almost entirely heterosexual,No,No,No
male,homosexual,No,Yes,Yes
Female,Straight,No,Yes,Yes
